scenario,replication,seed,admission_rate,rejection_rate,avg_wait_hours,avg_machine_utilization,peak_queue_length,pct_time_queue_full,pct_time_under_pressure,avg_cycle_time_hours,rejection_rate_low_priority,rejection_rate_medium_priority,rejection_rate_high_priority,scrap_rate,avg_machine_downtime_fraction,n_jobs
base,24,1321744324,0.9570217917675545,0.11864406779661017,0.14295407968624416,0.6145652173913044,6,0.0,0.14021739130434782,3.89643491211994,0.11596958174904944,0.09650582362728785,0.14666666666666667,0.0635593220338983,0.01717391304347826,1652
base,25,941137693,0.960809928151535,0.116263879817113,0.11476012652756304,0.5610869565217392,8,0.0010869565217391304,0.10869565217391304,3.8169545335269492,0.12280701754385964,0.1185064935064935,0.10675381263616558,0.07119529719137818,0.014782608695652174,1531
base,26,560531062,0.9600760456273765,0.1185044359949303,0.10020686068770035,0.5968478260869565,7,0.0,0.10869565217391304,3.89532632633109,0.12424849699398798,0.10851419031719532,0.125,0.07034220532319392,0.01717391304347826,1578
base,27,80585544,0.9275103980986333,0.14913844325609033,0.16608109964429071,0.6195652173913043,7,0.0,0.16521739130434782,3.9774264323632553,0.1536926147704591,0.14469914040114612,0.15082644628099173,0.0689245395127748,0.01641304347826087,1683
base,28,1847462561,0.948019801980198,0.12995049504950495,0.14214980206920588,0.5878260869565218,8,0.0010869565217391304,0.13260869565217392,3.8351035857293954,0.114,0.12217194570135746,0.15894039735099338,0.0724009900990099,0.017934782608695653,1616
base,29,1367517043,0.9614890885750963,0.11489088575096278,0.09327785873696,0.5817391304347826,8,0.0010869565217391304,0.09782608695652174,3.863391766321156,0.100418410041841,0.10301109350237718,0.14699331848552338,0.0693196405648267,0.012391304347826088,1558
capacity,0,291430200,0.9952324195470799,0.08522050059594756,0.013642430358543416,0.48628762541806025,5,0.0,0.017391304347826087,3.647751810994242,0.08253358925143954,0.07275541795665634,0.10371819960861056,0.07270560190703218,0.01722408026755853,1678
capacity,1,1958968330,0.9865278628291488,0.08450704225352113,0.0248544053023069,0.4833612040133779,5,0.0,0.03260869565217391,3.7802600033906346,0.0649895178197065,0.09119010819165378,0.09430255402750491,0.06368646662584201,0.013963210702341137,1633
capacity,2,1578361699,0.9993446920052425,0.09305373525557012,0.0065456225250596755,0.4525083612040134,3,0.0,0.006521739130434782,3.6882615755346375,0.09956709956709957,0.08427876823338736,0.09843400447427293,0.08125819134993446,0.01730769230769231,1526
capacity,3,1197755068,0.994234465086483,0.08968609865470852,0.013545938718260464,0.46546822742474925,3,0.0,0.015217391304347827,3.743071445722273,0.08438818565400844,0.10561056105610561,0.07484407484407485,0.07495195387572069,0.0181438127090301,1561
capacity,4,717809550,0.9867389993972272,0.08921036769138035,0.02651915044588029,0.48553511705685626,5,0.0,0.03260869565217391,3.7288421929268076,0.09560229445506692,0.08832807570977919,0.08366533864541832,0.06751054852320675,0.018812709030100336,1659
capacity,5,337202919,0.9974506054811982,0.07265774378585087,0.009681408127335462,0.4569397993311036,2,0.0,0.015217391304347827,3.6494034639796555,0.059447983014861996,0.08074534161490683,0.07488986784140969,0.06246016571064372,0.015551839464882942,1569
capacity,6,2004741049,0.9949238578680203,0.09708121827411167,0.01504407614743141,0.4744147157190635,5,0.0,0.017391304347826087,3.7681145449089524,0.09401709401709402,0.09984639016897082,0.0962800875273523,0.08629441624365482,0.017642140468227426,1576
capacity,7,1624134418,0.9948018193632229,0.08317089018843404,0.021398232183554824,0.4581939799331104,4,0.0,0.01956521739130435,3.752483496235425,0.08634538152610442,0.07885906040268456,0.0853932584269663,0.0714749837556855,0.013628762541806021,1539
capacity,8,1144188900,0.9943217665615142,0.09211356466876972,0.016619272646220488,0.47282608695652173,5,0.0,0.02282608695652174,3.7365340964711597,0.10082304526748971,0.0770440251572327,0.10367170626349892,0.07823343848580441,0.016220735785953178,1585
capacity,9,763582269,0.992948717948718,0.09487179487179487,0.012802452015568974,0.455685618729097,2,0.0,0.014130434782608696,3.666109882173471,0.061052631578947365,0.11056910569105691,0.10851063829787234,0.0782051282051282,0.015468227424749164,1560
capacity,10,382975638,0.9935525467440361,0.09219858156028368,0.016234540036727047,0.473494983277592,4,0.0,0.014130434782608696,3.859077552645044,0.10633946830265849,0.07537688442211055,0.0989247311827957,0.07736943907156674,0.017725752508361205,1551
capacity,11,2050513768,0.9934013197360528,0.09358128374325135,0.0266749539975708,0.48887959866220737,6,0.0,0.02717391304347826,3.669937312706545,0.08893709327548807,0.0884450784593438,0.10495049504950495,0.07978404319136173,0.014548494983277592,1667
capacity,12,1669907137,0.9903100775193798,0.10012919896640828,0.01678718891227286,0.4656354515050167,4,0.0,0.016304347826086956,3.7668685705557676,0.09937888198757763,0.10784313725490197,0.09050772626931568,0.07751937984496124,0.01697324414715719,1548
capacity,13,1189961619,0.9884428223844283,0.1070559610705596,0.03456353070249689,0.49899665551839467,5,0.0,0.02608695652173913,3.8321871259472027,0.10429447852760736,0.11022364217252396,0.10586011342155009,0.08211678832116788,0.018979933110367893,1644
capacity,14,809354988,0.9943109987357776,0.08723135271807839,0.026480703626708707,0.4739130434782609,4,0.0,0.025,3.8054655395839543,0.08704453441295547,0.08469055374592833,0.09071729957805907,0.07395701643489254,0.01488294314381271,1582
capacity,15,329409470,0.9941634241245136,0.08106355382619974,0.012400452779195313,0.4617056856187291,3,0.0,0.011956521739130435,3.7542906427496354,0.07407407407407407,0.07628524046434494,0.09375,0.06874189364461739,0.017725752508361205,1542
capacity,16,2096286487,0.9941291585127201,0.091324200913242,0.008959100943717215,0.46061872909699003,3,0.0,0.014130434782608696,3.7421757323470803,0.0896551724137931,0.09394904458598727,0.08936170212765958,0.07958251793868232,0.016722408026755852,1533
capacity,17,1715679856,0.9919802590993214,0.09685379395434916,0.022531487397828055,0.4765050167224081,5,0.0,0.01956521739130435,3.6962898137773323,0.10412573673870335,0.09175738724727839,0.09594882729211088,0.08019740900678593,0.018729096989966557,1621
capacity,18,1235734338,0.9980682549903412,0.08113329040566646,0.01692045027472748,0.4610367892976589,4,0.0,0.021739130434782608,3.7164753464001925,0.09221311475409837,0.06239737274220033,0.09429824561403509,0.07662588538312942,0.016053511705685617,1553
capacity,19,855127707,0.9944683466502766,0.08174554394591273,0.023243662398788324,0.4903010033444815,4,0.0,0.03369565217391304,3.797033499170687,0.07010309278350516,0.10119047619047619,0.06595744680851064,0.07068223724646588,0.02048494983277592,1627
capacity,20,375182189,0.9898798228969007,0.08222643896268185,0.02568970268330266,0.46847826086956523,4,0.0,0.02826086956521739,3.7868302328822154,0.08316008316008316,0.07606973058637084,0.08955223880597014,0.06008855154965212,0.0161371237458194,1581
capacity,21,2142059206,0.9949558638083228,0.09962168978562422,0.020716758826711288,0.4744983277591973,6,0.0,0.016304347826086956,3.7442544341023285,0.10212765957446808,0.0985691573926868,0.09856262833675565,0.08701134930643127,0.01705685618729097,1586
capacity,22,1761452575,0.9950647748303516,0.08698334361505243,0.010943329531549544,0.46697324414715724,4,0.0,0.011956521739130435,3.6235042610797104,0.1075050709939148,0.07836990595611286,0.07755102040816327,0.07587908698334361,0.014548494983277592,1621
capacity,23,1281507057,0.9948287007110537,0.08468002585649645,0.010015571039366176,0.45685618729096994,2,0.0,0.009782608695652175,3.6660046386174905,0.08391608391608392,0.09819967266775777,0.06903353057199212,0.07433742727860375,0.015217391304347825,1547
capacity,24,900900426,0.9961685823754789,0.09578544061302682,0.015912874116472936,0.471989966555184,3,0.0,0.01956521739130435,3.794010682629521,0.09051724137931035,0.09819967266775777,0.09775967413441955,0.08620689655172414,0.015384615384615385,1566
capacity,25,420954908,0.9907292954264524,0.09394313967861558,0.03221608215108876,0.48043478260869565,7,0.0,0.02826086956521739,3.7525533690550765,0.08779443254817987,0.10814814814814815,0.07983193277310924,0.07787391841779975,0.016387959866220735,1618
capacity,26,40348277,0.9897218863361548,0.08706166868198308,0.02183483462753733,0.4831939799331104,6,0.0,0.029347826086956522,3.6860472008342233,0.08113207547169811,0.08385093167701864,0.09791666666666667,0.06892382103990327,0.015384615384615385,1654
capacity,27,1707886407,0.9938461538461538,0.08738461538461538,0.021397722289157067,0.4757525083612039,3,0.0,0.02391304347826087,3.674363417138959,0.09979633401221996,0.0791476407914764,0.0859538784067086,0.07323076923076922,0.01588628762541806,1625
capacity,28,1327279776,0.993073047858942,0.0906801007556675,0.016579068813693934,0.47550167224080264,3,0.0,0.01956521739130435,3.744531741296204,0.07939914163090128,0.0859375,0.1078838174273859,0.07997481108312343,0.01596989966555184,1588
capacity,29,946673145,0.9858635525507068,0.10510141364474493,0.03783352163320203,0.48478260869565215,5,0.0,0.0391304347826087,3.806195243973384,0.1059322033898305,0.10030864197530864,0.11045364891518737,0.0842040565457898,0.014297658862876254,1627
policy_priority,0,1799626904,0.9637865311308768,0.1207115628970775,0.12532897733133017,0.5947826086956521,6,0.0,0.12282608695652174,3.886164252127538,0.11847389558232932,0.12459016393442623,0.11802575107296137,0.07306226175349428,0.018586956521739133,1574
policy_priority,1,1419020273,0.953646477132262,0.1291718170580964,0.1214856882124094,0.5807608695652173,6,0.0,0.13043478260869565,3.7656382965350605,0.13900414937759337,0.12951807228915663,0.11864406779661017,0.07601977750309023,0.016304347826086956,1618
